ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P315;03/05/25;12:40;pietons;vers gallia;tous les jours;activites/loisirs;;null;oui;null;oui;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;densite frequentation +;vitesse livreurs a velo;trop de monde en general;;;non;;;null;null;null;null;null;null;null;;agreable;beau;pratique;femme;20-40
P316;03/05/25;12:40;pietons;vers corbeau;toutes les semaines;travail/etudes;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;comportement + ;;;;;non;;;null;null;null;null;null;null;null;;paisible;agreable;sans soucis;femme;moins de 20
P317;03/05/25;12:45;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;amenagement - ;espace assez large;vitesse cyclistes;absence de separation;;non;;;null;null;null;null;null;null;null;;agreable;ombrage;;femme;moins de 20
P318;03/05/25;12:47;pietons;vers gallia;tous les jours;activites/loisirs;;null;null;null;null;oui;trompe de chemin;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;cool;bon vivre;femme;20-40
P319;03/05/25;12:49;pietons;vers gallia;tous les jours;travail/etudes;;oui;null;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;comportement + ;bon equilibre pietons cyclistes;tout le monde se respecte;;;non;;;null;null;null;null;null;null;null;;pratique;vivant;agreable;homme;20-40
P320;03/05/25;12:50;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;agreable;sympa;;homme;moins de 20
P321;03/05/25;12:55;pietons;sans reponse;tous les jours;activites/loisirs;;oui;oui;null;null;null;;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;ne sait pas;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;60 et plus
P322;03/05/25;12:55;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;oui;weekend;trop frequente;null;null;null;null;null;null;null;;agreable;joli;;femme;60 et plus
P323;03/05/25;12:55;pietons;vers gallia;premiere fois;promenade;;null;null;null;null;oui;au hasard;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement +;bon equilibre pietons cyclistes;espace assez large;;;non-concerne;;;null;null;null;null;null;null;null;;paisible;agreable;sûr;homme;40-60
P324;03/05/25;13:05;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;comportement;absence de separation;vitesse cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;tranquille;;homme;20-40
P325;03/05/25;13:05;pietons;vers gallia;tous les jours;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;comportement - ;faire attention (cyclistes ou pietons);;;;non;;;null;null;null;null;null;null;null;;buccolique ;mieux qu'avant;paisible;femme;40-60
P326;03/05/25;13:10;pietons;vers corbeau;moins souvent;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;comportement - ;vitesse livreurs a velo;;;;non;;;null;oui;null;oui;null;null;null;;agreable;tranquille;faire attention;homme;60 et plus
P327;03/05/25;13:15;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;ne sait pas;comportement - ;faire attention (cyclistes ou pietons);;;;non-concerne;;;null;null;null;null;null;null;null;;confortable;beau;convivial;homme;40-60
P328;03/05/25;13:15;pietons;vers gallia;moins souvent;activites/loisirs;;oui;oui;oui;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;tout a fait d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;oui;null;null;null;;agreable;vert;securise;homme;20-40
P329;03/05/25;13:15;pietons;sans reponse;tous les jours;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement;absence de separation;vitesse livreurs a velo;faire attention (cyclistes ou pietons);;non;;;null;null;null;null;null;null;null;;desagreable;circulation difficile;;femme;40-60
P330;03/05/25;13:20;pietons;vers gallia;toutes les semaines;promenade;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse livreurs a velo;absence de separation;;;oui;quand il y a du monde;a cause des livreurs;null;oui;null;null;null;null;null;;dangereux;alerte;agreable;femme;20-40
P331;03/05/25;13:20;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;oui;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;humain;pietonnise;femme;moins de 20
P332;03/05/25;13:20;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;null;null;;plutot d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;amenagement - ;absence de separation;espace assez large;obstacles amenagement (arbres, bancs…);;non;;;null;null;null;null;null;null;null;;tranquille;aere;calme;femme;20-40
P333;03/05/25;13:25;pietons;sans reponse;tous les jours;activites/loisirs;;oui;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;ne sait pas;amenagement - ;vitesse cyclistes;absence de separation;;;non;;;null;null;null;null;null;null;null;;agreable;pratique;large;femme;20-40
P334;03/05/25;13:35;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;;;;non;;;oui;oui;null;oui;null;null;null;;tranquilite;;;femme;40-60
P335;03/05/25;13:40;pietons;vers gallia;toutes les semaines;activites/loisirs;;oui;null;oui;null;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;absence de separation;;non;;;oui;oui;null;oui;null;null;null;;insecurite;joli;culpabilite;femme;60 et plus
P336;03/05/25;13:50;pietons;sans reponse;toutes les semaines;activites/loisirs;;oui;oui;null;null;null;;plutot d'accord;plutot d'accord;ne sait pas;pas du tout d'accord;plutot d'accord;ne sait pas;comportement - ;probleme avec les vehicule electrique (trotinettes,velos);;;;non;;;null;null;null;null;null;null;null;;large;joli;tension;femme;moins de 20
P337;03/05/25;13:54;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;null;null;null;null;;;;;femme;40-60
P338;03/05/25;13:58;pietons;vers corbeau;tous les jours;travail/etudes;;oui;null;null;oui;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;amenagement - ;espace assez large;touristes ne comprennent pas l'espace;;;non;;;null;null;null;null;null;null;null;;agreable;reposant;fluide;femme;20-40
P339;03/05/25;14:00;pietons;sans reponse;tous les jours;travail/etudes;;oui;oui;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;aleatoire;embarrassant;;homme;moins de 20
P340;03/05/25;14:05;pietons;vers gallia;premiere fois;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;;faire attention (cyclistes ou pietons);;;;non-concerne;;;null;null;null;null;null;null;null;;agreable;digestif;paisible;femme;20-40
P341;03/05/25;14:10;pietons;vers gallia;moins souvent;activites/loisirs;;oui;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;dangereux;cyclistes pas courtois;femme;40-60
P342;03/05/25;14:10;pietons;sans reponse;tous les jours;promenade;;oui;oui;null;null;null;;tout a fait d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;comportement - ;vitesse cyclistes;manque d'attention pietons;obstacles amenagement (arbres, bancs…);;non;;;null;null;null;null;null;null;null;;frais;vivant;;homme;20-40
P343;03/05/25;14:15;pietons;vers corbeau;moins souvent;promenade;;null;oui;null;null;null;;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;comportement + ;tout le monde se respecte;;;;non;;;null;null;null;null;null;null;null;;relaxant;moyen securite;bon amenagement de detente;homme;60 et plus
P344;03/05/25;14:18;pietons;vers corbeau;tous les jours;promenade;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;ne sait pas;comportement - ;vitesse cyclistes;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;manque de convivialite;;femme;60 et plus
P345;03/05/25;14:20;pietons;sans reponse;moins souvent;activites/loisirs;;null;oui;null;oui;null;;tout a fait d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;ne sait pas;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;oui;manifestation;;null;null;null;null;null;null;null;;bonheur;beaute;serenite;homme;60 et plus
P346;03/05/25;14:20;pietons;vers corbeau;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;meprisable;dangereux;irrespectueux;homme;60 et plus
P347;03/05/25;14:30;pietons;vers corbeau;tous les jours;promenade;;null;oui;oui;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;amenagement - ;absence de separation;manque de signaletique;;;non;;;null;null;null;null;null;null;null;;paisible;divers;anime;homme;20-40
P348;03/05/25;14:30;pietons;sans reponse;moins souvent;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;correct;pas dangereux;homme;60 et plus
P349;03/05/25;14:30;pietons;vers gallia;moins souvent;activites/loisirs;;oui;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;densite frequentation +;bon equilibre pietons cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;;;femme;20-40
P350;03/05/25;14:30;pietons;vers corbeau;moins souvent;promenade;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;oui;null;null;oui;null;null;null;;plaisir;ambigu;insecurite;femme;60 et plus
P351;03/05/25;14:40;pietons;vers gallia;tous les jours;activites/loisirs;;null;null;null;null;oui;habitation;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;;;;;;non;;;null;null;null;null;null;null;null;;peuple;agreable;;femme;20-40
P352;03/05/25;14:40;pietons;vers corbeau;moins souvent;promenade;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;amenagement - ;absence de separation;;;;non;;;null;null;null;null;null;null;null;;mineral;divers;boutiques inde;homme;20-40
P353;03/05/25;14:47;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;amenagement - ;manque de signaletique;manque d'attention pietons;;;non;;;null;null;null;null;null;null;null;;agreable;concentration;anime;femme;moins de 20
P354;03/05/25;14:50;pietons;vers gallia;moins souvent;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;tout a fait d'accord;sans reponse;plutot pas d'accord;plutot d'accord;pas du tout d'accord;;trop de cyclistes;vitesse cyclistes;je fais plus attention ;;non;;;null;null;null;null;null;null;null;;presse;chaotique;;femme;20-40
P355;03/05/25;14:50;pietons;vers corbeau;toutes les semaines;activites/loisirs;;oui;oui;null;null;null;;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;amenagement - ;vitesse cyclistes;absence de separation;obstacles amenagement (arbres, bancs…);;non;;;null;null;null;null;null;null;null;;agreable;ouvert;alerte;femme;20-40
P356;03/05/25;14:51;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;null;null;null;;plutot pas d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;comportement - ;vitesse cyclistes;;;;non;;;null;null;null;null;null;null;null;;magnifique;irreel;artificiel;homme;20-40
P357;03/05/25;14:56;pietons;vers corbeau;moins souvent;activites/loisirs;;null;null;null;null;oui;changer de chemin;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;comportement;faire attention (cyclistes ou pietons);vitesse cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;stressant;;homme;40-60
P358;03/05/25;15:00;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;null;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;comportement;comportement derangeant cyclistes;vitesse cyclistes;je fais plus attention ;;oui;manifestation;trop frequente;oui;oui;oui;null;null;null;null;;agreable;chaud;bruyant;femme;20-40
P359;03/05/25;15:00;pietons;vers corbeau;premiere fois;promenade;;null;oui;null;null;null;;tout a fait d'accord;ne sait pas;ne sait pas;ne sait pas;ne sait pas;ne sait pas;densite frequentation +;bon equilibre pietons cyclistes;;;;non-concerne;;;null;null;null;null;null;null;null;;agreable;securiataire;tres fluide;femme;20-40
P360;03/05/25;15:00;pietons;vers corbeau;tous les jours;travail/etudes;;null;oui;null;oui;null;;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;comportement;vitesse cyclistes;comportement derangeant cyclistes;amenagements bien adaptes;conflits/tensions/peur;non;;;null;null;null;null;null;null;null;;agreable;joli;;homme;60 et plus
P361;03/05/25;15:10;pietons;vers corbeau;tous les jours;promenade;;null;oui;oui;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;comportement;absence de separation;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;paisible;beau;;femme;20-40
P362;03/05/25;15:12;pietons;vers gallia;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;comportement;comportement derangeant cyclistes;vitesse cyclistes;manque d'attention pietons;;oui;manifestation;;null;null;null;null;null;null;null;;agreable;plaisant;;femme;40-60
P363;03/05/25;15:11;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;comportement;manque de signaletique;;;;non;;;null;null;null;oui;null;null;null;;agreable;prudent;detente;femme;moins de 20
P364;03/05/25;15:11;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;;;;;;non;;;null;null;null;oui;null;null;null;;attentif;agreable;detente;femme;moins de 20
P365;03/05/25;15:20;pietons;sans reponse;tous les jours;promenade;;oui;null;null;null;null;;plutot d'accord;plutot pas d'accord;pas du tout d'accord;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;amenagement +;espace assez large;comportement derangeant cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;securitaire;tres beau;femme;60 et plus
P366;03/05/25;15:25;pietons;vers corbeau;toutes les semaines;promenade;;oui;null;null;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement - ;vitesse cyclistes;absence de separation;comportement derangeant cyclistes;problemes avec les velos cargos;oui;manifestation;;null;null;null;null;null;null;null;;agreable;pas de voiture;patrimonial;femme;20-40
P367;03/05/25;15:30;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;oui;null;null;;plutot d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;comportement;comportement derangeant cyclistes;manque de signaletique;;;non;;;oui;null;null;oui;null;null;null;;agreable;;;homme;60 et plus
P368;03/05/25;15:35;pietons;vers gallia;tous les jours;promenade;;null;oui;oui;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;oui;oui;null;null;null;null;null;;agreable;prudent;convivial;femme;60 et plus
P369;03/05/25;15:40;pietons;vers corbeau;tous les jours;activites/loisirs;;null;null;null;null;oui;habitation;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;comportement - ;comportement derangeant cyclistes;vitesse cyclistes;probleme avec les vehicule electrique (trotinettes,velos);;non;;;null;null;null;null;null;null;null;;bien;accidentogene;bonne idee;ne sait pas;ne sait pas 
P370;03/05/25;15:44;pietons;vers gallia;tous les jours;activites/loisirs;;null;oui;oui;null;null;;plutot pas d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;sans reponse;plutot pas d'accord;comportement - ;comportement derangeant cyclistes;;;;non;;;oui;null;null;null;null;null;null;;stressant;agreable;aere;homme;20-40
P371;03/05/25;14:45;pietons;vers corbeau;toutes les semaines;promenade;;null;null;oui;null;null;;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;comportement - ;comportement derangeant cyclistes;aggresivite cyclistes;;;non;;;null;null;null;null;null;null;null;;agreable;poetique;convivial;femme;20-40
P372;03/05/25;15:45;pietons;vers corbeau;tous les jours;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;densite frequentation - ;trop de monde en general;espace assez large;comportement derangeant cyclistes;;non;;;null;null;null;null;null;null;null;;beau ;vivant;agreable;femme;60 et plus
P373;03/05/25;15:50;pietons;vers corbeau;moins souvent;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation - ;trop de pietons;;;;non;;;null;null;null;null;null;null;null;;agreable;amenagement reussi;;femme;60 et plus
P374;03/05/25;15:52;pietons;vers corbeau;tous les jours;promenade;;oui;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;comportement;bon equilibre pietons cyclistes;tout le monde se respecte;;;non;;;null;null;null;null;null;null;null;;tres beau;tres agreable;tres securitaire;femme;60 et plus
P375;03/05/25;15:55;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;comportement;comportement derangeant cyclistes;;;;non;;;null;null;null;null;null;null;null;;agreable;precautions necessaires;;femme;60 et plus
P376;03/05/25;16:00;pietons;vers corbeau;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement;absence de separation;faire attention (cyclistes ou pietons);;;oui;;trop frequente;oui;oui;oui;oui;null;null;null;;anarchique;agreable;tendu;femme;20-40
P377;03/05/25;16:00;pietons;vers corbeau;moins souvent;promenade;;oui;oui;oui;null;null;;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;ne sait pas;comportement;absence de separation;;;;oui;weekend;trop frequente;null;oui;oui;oui;null;null;oui;manifs;agreable;spacieux;lumineux;homme;20-40
P378;03/05/25;16:00;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;comportement;absence de separation;;;;non;;;null;null;null;oui;oui;null;oui;motos;agreable;Amsterdam;convivial;femme;20-40
P379;03/05/25;16:05;pietons;vers corbeau;toutes les semaines;promenade;;oui;oui;null;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;comportement;probleme avec les voitures/camionnettes ;;;;non;;;null;null;null;null;null;null;null;;plaisir;serenite;que ça continu;homme;60 et plus
P380;03/05/25;16:05;pietons;vers corbeau;toutes les semaines;activites/loisirs;;oui;null;null;null;null;;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;comportement;faire attention (cyclistes ou pietons);absence de separation;;;non;;;null;null;null;null;null;null;null;;sympa;;;homme;40-60
P381;03/05/25;16:08;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;null;null;null;null;;tout a fait d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;comportement;touristes ne comprennent pas l'espace;;;;non;;;null;null;null;null;oui;null;null;;bien;agreable;trop emprunte;homme;20-40
P382;03/05/25;16:15;pietons;sans reponse;premiere fois;promenade;;null;oui;null;null;null;;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;comportement;espace assez large;;;;non-concerne;;;null;null;null;null;null;null;null;;agreable;reposante;;homme;20-40
P383;03/05/25;16:15;pietons;vers corbeau;moins souvent;promenade;;oui;null;null;null;null;;plutot d'accord;plutot pas d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;comportement;vitesse cyclistes;absence de separation;;;non;;;null;null;null;null;null;null;null;;bien;agreable;belle visite ;femme;40-60
P384;03/05/25;16:15;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;oui;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;comportement;faire attention (cyclistes ou pietons);;;;non;;;null;null;null;null;null;null;null;;agreable;ensoleille;reposant;homme;40-60
P385;03/05/25;16:19;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;comportement;comportement derangeant cyclistes;;;;non;;;oui;oui;null;oui;oui;oui;null;;lugubre;alcoolise;magnifique;homme;20-40
P386;03/05/25;16:19;pietons;vers corbeau;toutes les semaines;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot pas d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;comportement;comportement derangeant cyclistes;;;;non;;;null;oui;null;oui;null;null;null;;feerique;experimental;fun;homme;20-40
P387;03/05/25;16:19;pietons;vers corbeau;toutes les semaines;promenade;;null;oui;null;null;null;;tout a fait d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;comportement;comportement derangeant cyclistes;;;;non;;;null;null;null;null;oui;oui;null;;mystique;jovial;chill man;homme;20-40
P388;03/05/25;16:20;pietons;vers corbeau;moins souvent;activites/loisirs;;oui;null;null;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;sans reponse;tout a fait d'accord;pas du tout d'accord;comportement;vitesse cyclistes;vitesse livreurs a velo;comportement derangeant cyclistes;;oui;;;oui;oui;null;null;null;null;null;;agreablement;reserve aux pietons;;homme;40-60
P389;03/05/25;16:20;pietons;sans reponse;tous les jours;activites/loisirs;;null;oui;null;null;null;;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;comportement;conflits/tensions/peur;;;;non;;;null;null;null;null;null;null;null;;correct;tres vivant;tres beau;femme;40-60
P390;03/05/25;16:25;pietons;vers corbeau;tous les jours;promenade;;null;oui;null;null;null;;pas du tout d'accord;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;comportement;comportement derangeant cyclistes;probleme avec les vehicule electrique (trotinettes,velos);obstacles amenagement (arbres, bancs…);;non;;;null;null;null;null;null;null;null;;agreable;surcharge;vivant;homme;20-40
P391;03/05/25;16:30;pietons;vers corbeau;tous les jours;activites/loisirs;;oui;oui;oui;null;null;;plutot d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;comportement - ;vitesse cyclistes;probleme avec les vehicule electrique (trotinettes,velos);vitesse livreurs a velo;;non;;;null;null;null;null;null;null;null;;ensoleille;touristique;promenade;homme;60 et plus
